id,order_id,product_variation_id,title,variation_title,description,price,topping_price,total_price,discount,quantity,container_price,deleted,product_discount,container_price_discount,product_discount_zf_share,order_product_id,vat
909447460,377222766,8008806,"",سنگک سنتی دو رو پر کنجد بزرگ,یک عدد,15000,0,15000,0,1,0,,0,0,0,,0
909447459,377222765,24348228,نوشابه بطری,پپسی,300 میلی لیتر,11000,0,11000,0,1,0,,0,0,0,,0
909447458,377222765,24227748,چلو جوجه کباب اقتصادی, یک سیخ	,جوجه کباب سینه مرغ 150 گرمی، 400 گرم برنج خارجی، دورچین: گوجه کبابی، لیمو، کره,85000,0,170000,0,2,0,,0,0,0,,0
909447457,377222764,23587614,"",لیموناد خانواده زمزم,یک لیتر,25000,0,25000,0,1,0,,0,0,0,,0
909447456,377222764,23587605,سیب زمینی سرخ کرده,250 گرم,"",55000,0,55000,0,1,0,,0,0,0,,0
909447455,377222764,23586980,قارچ سوخاری,250 گرم,"",55000,0,55000,0,1,0,,0,0,0,,0
909447454,377222764,23586968,سمبوسه مرغ با خمیر یوفکا,یک عدد,مرغ تکه ای، قارچ، فلفل دلمه ای,25000,0,25000,0,1,0,,0,0,0,,0
909447453,377222764,23586944,فیله استریپس سوخاری,یک عدد,"",29000,0,58000,0,2,0,,0,0,0,,0
909447452,377222764,23586950,ساق سوخاری,یک عدد,"",40000,0,40000,0,1,0,,0,0,0,,0
909447451,377222764,23586953,کتف و بال سوخاری,یک عدد,"",27000,0,27000,0,1,0,,0,0,0,,0
909447450,377222764,23586959,کراکت سوخاری,یک عدد,مرغ، سبزیجات معطر، پنیر پیتزا,19000,0,19000,0,1,0,,0,0,0,,0
909447449,377222763,8368534,"",سفید آب قلع,لایه برداری پوستتمیز کننده ای بدون ایجاد حساسیتکنترل تعریق بدنخلاص شدن از شر جوش هاجلوگیری از جوش زدن پس از اصلاح,15000,0,30000,0,2,0,,0,0,0,,0
909447448,377222763,8975778,چوب دارچین سیگاری,50 گرم,کاهش وزن، بهبود کارکرد قلب و معده، مسکن درد,56000,0,56000,0,1,0,,0,0,0,,0
909447447,377222763,21692019,زنجبیل درشت,75 گرم,ضد تهوع، ضد سرفه، تقویت کننده سیستم ایمنی,65000,0,130000,0,2,0,,0,0,0,,0
909447446,377222763,24120857,"",رازیانه (۷۵گرم ),ضد نفخ معده ، تنظیم کننده عادت ماهیانه  و .....,25000,0,50000,0,2,0,,0,0,0,,0
909447445,377222762,23424674,"",سنگک سنتی دو رو کنجد,"",13000,0,13000,0,1,0,,0,0,0,,0
909447444,377222761,20483766,ترکیب قهوه خان دو,۲۰۰ گرم,40% عربیکا، 60% روبوستا,130000,0,130000,0,1,15000,,0,0,0,,0
909447443,377222760,24329210,نوشابه خانواده,فانتا پرتقالی,1.5 لیتر,32000,0,32000,0,1,0,,0,0,0,,0
909447442,377222760,24556162,"",چلو کباب نگینی ,یک سیخ کوبیده گوشت گوسفندی 200 گرمی به همراه تکه های نگینی جوجه کباب، و 150 گرم برنج 100%ایرانی، دورچین: گوجه، لیمو، نارنج، پیاز، فلفل,105000,0,210000,0,2,0,,0,0,0,,0
909447441,377222759,20483766,ترکیب قهوه خان دو,۲۰۰ گرم,40% عربیکا، 60% روبوستا,130000,0,130000,0,1,15000,,0,0,0,,0
909447440,377222758,24335022,"",۱۰۰٪ عربیکا، مکزیک (کافئین کم),"",9000,0,9000,0,1,0,,0,0,0,909447439,9
909447439,377222758,17851209,"",آمریکانو 360 میلی لیتر,اسپرسو دبل، آب جوش,59000,0,56050,0,1,4500,,2950,0,0,,9
909447438,377222757,23006148,"",بربری سنتی ساده,نان بربری سنتی ساده مخصوص ,12000,0,12000,0,1,0,,0,0,0,,0
909447437,377222756,21768098,کیک وانیلی,1 عدد (65 گرم),± 50 گرم، آرد گندم، وانیل، روغن آفتابگردان، تخم مرغ، شیر خشک، ژل کیک، بکینگ پودر، نمک، شکر، آب و ...,12000,0,24000,0,2,0,,0,0,0,,0
909447436,377222756,21767837,نان سویتال,1 بسته (12 برش),± 50 گرم، آرد گندم، آرد جو، آرد چاودار (روگن)، پرک جو، سبوس گندم، تخمه آفتابگران، کنجد، کره مارگارین، پروپیونات کلسیم، مخمر، نمک، شکر، بهبود دهنده، آب، 550 گرم,45000,0,45000,0,1,0,,0,0,0,,0
909447435,377222755,8334970,"",بربری سنتی کنجدی,"",10000,0,10000,0,1,0,,0,0,0,,0
909447434,377222754,7661193,نوشابه بطری,پپسی,300 میلی لیتر,11000,0,11000,0,1,0,,0,0,0,,0
909447433,377222754,7661126,چلو کباب کوبیده مخصوص,دو سیخ,کباب کوبیده مخلوط گوشت گوساله و گوسفندی 100 گرمی، 300 گرم برنج ایرانی، دورچین: گوجه کبابی، فلفل کبابی، لیموترش، پیاز,196000,0,156800,0,1,0,,39200,0,39200,,0
909447432,377222753,24009873,"",سس قارچ بزرگ,بزرگ,30000,0,30000,0,1,0,,6000,0,6000,909447431,0
